2659,96,11431,13576,224,4515,4611,257,161,2306,129,2273,9095,2370,160,6918,9030,2241,6789,8998,2402,6852,17801,2401,4579,19882,4771,2337,6885,6917,2338,6756,9062,2338,2434,6789,2370,2402,6853,2402,2370,6821,4676,2370,11271,17705,2402,9030,11303,6917,2467,6821,6756,2370,11400,9126,2370,13512,15689,2562,2338,2305,2305,4676,9255,7078,2401,13640,15624,2337,11302,17640,225,4547,6982,160,6755,11303,9158,128
4835,2498,17833,17769,4803,6788,2402,4643,161,2370,161,2306,9094,2434,2370,9126,9127,2434,9126,6789,6917,4611,19946,2433,4579,21930,6915,4515,6982,9094,2434,2434,11272,2370,2434,6853,2402,2435,6885,2435,2402,6756,6821,2402,6884,22027,2434,13609,2531,13609,6917,2531,9030,2402,11303,9286,2466,19978,17640,13382,2338,2338,2338,11464,4675,11561,11206,17704,22026,449,4867,21961,2273,2338,9095,161,11496,2529,11624,160
4867,2498,17833,15689,4771,6788,2434,4643,129,2370,161,193,9094,2466,2370,9159,9127,2434,9159,6757,6917,2370,19946,2465,2370,21898,4899,4547,9030,9095,2466,2402,11272,2402,2402,6885,2402,2434,6885,2466,2434,6756,4805,2434,4675,24074,2466,13641,2562,11529,8966,4611,9030,2402,9223,9319,2498,20010,15592,13382,2370,2370,2338,13512,4707,11528,11239,17704,22026,449,4674,21961,2273,225,9094,193,11528,2530,13641,161
9158,128,13576,11496,192,4579,4612,257,193,2402,2273,2305,9127,6788,257,9030,8966,2338,6917,9030,2466,6820,19978,6949,4547,19914,11367,2402,8998,8965,2434,6756,11304,4579,4547,6917,4579,2467,6917,4676,2434,6853,6885,2467,9190,22026,4740,9159,11335,6949,4611,6886,6821,2434,11432,11432,4482,15657,15721,2594,2402,2402,2370,6852,9287,9126,4579,17801,13576,2338,11270,21962,2498,4547,9127,2435,4836,9287,9094,161
193,96,8998,9062,161,2370,6692,160,4676,15721,2337,2466,19882,6883,2305,6821,6820,2338,15560,17833,6851,6821,9095,6853,4611,9287,9223,2434,6756,4676,2434,9062,11271,4611,6853,13673,2530,4579,11304,2531,2499,4579,4547,2498,4611,4708,2498,6981,17834,2562,4547,6821,2499,2467,9095,9127,2466,11303,15624,2434,4547,6821,2402,6884,13608,13447,2434,17737,11238,2338,6724,6885,2305,9158,11432,4804,2499,11560,2305,2369
193,225,9191,9191,4514,2241,6788,160,4547,17833,321,4547,21897,9060,2337,4644,6950,2402,24106,15495,19752,11304,2434,11336,11336,7013,13641,2467,6724,4772,2467,11433,9094,9159,4708,15850,4611,4611,11336,4643,4579,4611,4611,2531,4579,4708,2531,6820,22059,2595,4579,6821,2531,6821,9191,11336,2498,6916,19946,2466,4515,6853,2434,17770,4964,20010,2499,17672,15463,2370,2434,9030,2337,13705,4771,11592,4482,13673,289,11206
193,225,9223,9159,2434,160,4740,193,225,17833,353,2305,21865,9060,2338,4611,6982,2434,24139,15495,19752,11336,2466,11336,11368,7013,13609,2498,4676,4772,2499,13481,9062,9158,4579,15850,4611,2531,11336,4643,4579,4611,4611,4579,4579,6788,4579,4643,22059,4643,2531,6853,4579,6853,9223,11336,2530,4739,19946,4546,4546,6885,2467,17802,7012,17930,2434,17608,15463,2402,2402,9030,2338,13705,6788,11592,2273,13673,321,11238
2306,129,9062,9030,160,2370,6789,2338,4643,17866,6916,2434,19881,13447,2370,6821,6982,2402,19753,17801,6883,8966,9127,6885,4740,11368,9223,2531,6820,6885,4579,11240,11272,4675,6885,15850,6949,4643,11369,6950,4611,4644,4676,4643,4676,6821,4643,6981,20043,7013,4643,6885,4708,4611,11240,9127,4579,9223,17898,4708,4611,6949,4611,9094,13641,11399,2466,17737,15624,2434,4676,9030,2402,9287,11400,4804,4514,11625,6885,2498
193,129,4644,4676,161,6756,6885,2402,9061,11528,11270,2370,9127,2499,2370,6789,4740,2434,11335,11528,4739,6885,15753,2563,4579,6756,4708,2531,11368,9223,4611,4740,6853,4643,6885,9094,6885,4676,11304,4675,4643,11464,9255,4643,9127,11272,4708,7014,15753,4675,4708,11369,4643,4643,8998,6820,4611,8966,9127,4611,9191,11464,6981,6852,11368,9223,2467,6853,4773,2434,11367,11496,2498,6853,11496,2370,4611,13673,353,257
225,128,4483,6853,193,9062,4612,6917,17866,2625,19978,2434,9095,2531,2370,4644,6917,2434,13738,11303,11464,4740,15818,4611,6788,4675,6885,4611,11303,9415,4643,6917,6820,4804,11271,4675,11272,4708,11336,4708,4676,11368,11464,4675,11433,11207,9126,6853,15882,4707,4708,13448,4676,4644,6917,6917,4643,4708,11303,4611,13738,6852,13706,13577,4836,13673,4676,6853,8998,2498,13738,11496,7110,4611,13673,2370,4579,15785,385,2467
